-71	3	-94	-7	-42	-93	-72	-30	-63	-70	-87	7	-49	-29	-49	
-71	-62	-24	-26	-9	-48	-17	-17	-36	-1	-8	-70	-73	-1	-95	
-64	-27	-6	-28	-77	-53	-100	-98	-4	7	-39	-4	-75	-85	-86	
-16	3	-36	-34	-6	-22	-64	-31	-28	-72	-20	-78	-84	4	-35	
-73	-13	-8	-13	4	-38	-5	-24	-8	-12	10	-12	-16	-34	-7	
-71	6	-42	-91	-66	6	-78	-65	-34	-10	-26	-61	-55	-72	-70	
-99	-51	9	-18	-12	-23	-46	-93	-38	-75	-35	-50	-92	-12	-59	
9	-15	-66	-5	-99	-16	-38	-68	9	-54	-87	-93	-96	-5	-7	
-65	3	-3	-48	-89	-56	-54	-53	-95	-74	6	-69	-13	-71	-25	
-7	-40	-11	-61	-27	-26	-49	-66	-25	-14	-72	-9	-26	-82	-5	
-90	9	-10	-89	-74	10	-1	-95	-11	-31	-95	3	-95	-67	-73	
-87	1	-73	-18	-10	-6	2	-83	-53	-100	-97	2	-45	-94	-13	
10	-7	2	-91	-70	6	-22	-66	-57	-33	-33	-81	-95	-28	1	
-37	-18	-37	-79	-18	
